ISO3,year,sub_window,variable,value,source,note
BEL,1892,1820-1913,cinc,0.016509118,COW,
BEL,1893,1820-1913,pop,6300.0,Maddison,
BEL,1893,1820-1913,gdppc,5507.0,Maddison,
BEL,1893,1820-1913,v2x_libdem,0.347,V-Dem,
BEL,1893,1820-1913,v2x_polyarchy,0.36,V-Dem,
BEL,1893,1820-1913,cinc,0.016379425,COW,
BEL,1894,1820-1913,pop,6370.0,Maddison,
BEL,1894,1820-1913,gdppc,5528.0,Maddison,
BEL,1894,1820-1913,v2x_libdem,0.435,V-Dem,
BEL,1894,1820-1913,v2x_polyarchy,0.498,V-Dem,
BEL,1894,1820-1913,cinc,0.01691708,COW,
BEL,1895,1820-1913,pop,6439.0,Maddison,
BEL,1895,1820-1913,gdppc,5598.0,Maddison,
BEL,1895,1820-1913,v2x_libdem,0.436,V-Dem,
BEL,1895,1820-1913,v2x_polyarchy,0.498,V-Dem,
BEL,1895,1820-1913,cinc,0.015960833,COW,
BEL,1896,1820-1913,pop,6494.0,Maddison,
BEL,1896,1820-1913,gdppc,5660.0,Maddison,
BEL,1896,1820-1913,v2x_libdem,0.436,V-Dem,
BEL,1896,1820-1913,v2x_polyarchy,0.497,V-Dem,
BEL,1896,1820-1913,cinc,0.016506953,COW,
BEL,1897,1820-1913,pop,6548.0,Maddison,
BEL,1897,1820-1913,gdppc,5716.0,Maddison,
BEL,1897,1820-1913,v2x_libdem,0.436,V-Dem,
BEL,1897,1820-1913,v2x_polyarchy,0.497,V-Dem,
BEL,1897,1820-1913,cinc,0.016193476,COW,
BEL,1898,1820-1913,pop,6604.0,Maddison,
BEL,1898,1820-1913,gdppc,5762.0,Maddison,
BEL,1898,1820-1913,v2x_libdem,0.435,V-Dem,
BEL,1898,1820-1913,v2x_polyarchy,0.495,V-Dem,
BEL,1898,1820-1913,cinc,0.015125887,COW,
BEL,1899,1820-1913,pop,6662.0,Maddison,
BEL,1899,1820-1913,gdppc,5828.0,Maddison,
BEL,1899,1820-1913,v2x_libdem,0.435,V-Dem,
BEL,1899,1820-1913,v2x_polyarchy,0.494,V-Dem,
BEL,1899,1820-1913,cinc,0.014682084,COW,
BEL,1900,1820-1913,pop,6719.0,Maddison,
BEL,1900,1820-1913,gdppc,5947.0,Maddison,
BEL,1900,1820-1913,v2x_libdem,0.442,V-Dem,
BEL,1900,1820-1913,v2x_polyarchy,0.505,V-Dem,
BEL,1900,1820-1913,cinc,0.013917479,COW,
BEL,1901,1820-1913,pop,6801.0,Maddison,
BEL,1901,1820-1913,gdppc,5928.0,Maddison,
BEL,1901,1820-1913,v2x_libdem,0.443,V-Dem,
BEL,1901,1820-1913,v2x_polyarchy,0.508,V-Dem,
BEL,1901,1820-1913,cinc,0.0123719,COW,
BEL,1902,1820-1913,pop,6903.0,Maddison,
BEL,1902,1820-1913,gdppc,5960.0,Maddison,
BEL,1902,1820-1913,v2x_libdem,0.444,V-Dem,
BEL,1902,1820-1913,v2x_polyarchy,0.509,V-Dem,
BEL,1902,1820-1913,cinc,0.013456127,COW,
BEL,1903,1820-1913,pop,6997.0,Maddison,
BEL,1903,1820-1913,gdppc,6013.0,Maddison,
BEL,1903,1820-1913,v2x_libdem,0.444,V-Dem,
BEL,1903,1820-1913,v2x_polyarchy,0.509,V-Dem,
BEL,1903,1820-1913,cinc,0.014955273,COW,
BEL,1904,1820-1913,pop,7086.0,Maddison,
BEL,1904,1820-1913,gdppc,6091.0,Maddison,
BEL,1904,1820-1913,v2x_libdem,0.442,V-Dem,
BEL,1904,1820-1913,v2x_polyarchy,0.507,V-Dem,
BEL,1904,1820-1913,cinc,0.01529636,COW,
BEL,1905,1820-1913,pop,7175.0,Maddison,
BEL,1905,1820-1913,gdppc,6188.0,Maddison,
BEL,1905,1820-1913,v2x_libdem,0.441,V-Dem,
BEL,1905,1820-1913,v2x_polyarchy,0.505,V-Dem,
BEL,1905,1820-1913,cinc,0.014029781,COW,
BEL,1906,1820-1913,pop,7258.0,Maddison,
BEL,1906,1820-1913,gdppc,6244.0,Maddison,
BEL,1906,1820-1913,v2x_libdem,0.443,V-Dem,
BEL,1906,1820-1913,v2x_polyarchy,0.508,V-Dem,
BEL,1906,1820-1913,cinc,0.014697101,COW,
BEL,1907,1820-1913,pop,7338.0,Maddison,
BEL,1907,1820-1913,gdppc,6268.0,Maddison,
BEL,1907,1820-1913,v2x_libdem,0.445,V-Dem,
BEL,1907,1820-1913,v2x_polyarchy,0.51,V-Dem,
BEL,1907,1820-1913,cinc,0.014563496,COW,
